n,threads,run,time_ms
7200,1,19,1515671425.0
7200,1,23,1467361754.0
7200,1,27,1496822591.0
7200,1,31,1456852288.0
7200,1,35,1457123636.0
7200,1,39,1473157918.0
7200,1,43,1492564492.0
7200,1,47,1492303541.0
7200,1,51,1486067502.0
7200,1,55,1483616832.0
7200,1,59,1495150594.0
7200,1,63,1490989406.0
7200,1,67,1506304438.0
7200,1,71,1463156705.0
7200,1,75,1489750236.0
7200,1,79,1474182917.0
7200,1,83,1529686222.0
7200,1,87,1512906262.0
7200,1,91,1460785755.0
7200,1,95,1486082641.0
7200,1,99,1494100544.0
7200,1,103,1519798967.0
7200,1,107,1494155916.0
7200,1,111,1468740235.0
7200,1,115,1471562262.0
7200,1,119,1503887717.0
8000,8,3,475080867.0
8000,8,7,407006844.0
8000,8,11,521019232.0
8000,8,15,459489995.0
8000,8,19,427934265.0
8000,8,23,448019188.0
8000,8,27,526939695.0
8000,8,31,531492788.0
8000,8,35,520149888.0
8000,8,39,446327455.0
8000,8,43,518454558.0
8000,8,47,471966236.0
8000,8,51,482870360.0
8000,8,55,435536645.0
8000,8,59,451937806.0
8000,8,63,545002876.0
8000,8,67,419964954.0
8000,8,71,445520457.0
8000,8,75,514552948.0
8000,8,79,520530711.0
8000,8,83,492724113.0
8000,8,87,421795512.0
8000,8,91,436772946.0
8000,8,95,463538328.0
8000,8,99,516268193.0
8000,8,103,497788827.0
8000,8,107,442168208.0
8000,8,111,487748363.0
8000,8,115,469990763.0
8000,8,119,411020633.0
4800,20,3,79837456.0
4800,20,7,75876565.0
4800,20,11,72710681.0
4800,20,15,77788416.0
4800,20,19,78640185.0
4800,20,23,81450921.0
4800,20,27,75523562.0
4800,20,31,75730018.0
4800,20,35,76002907.0
4800,20,39,77630011.0
4800,20,43,75053752.0
4800,20,47,76673542.0
4800,20,51,75060158.0
4800,20,55,76561402.0
4800,20,59,77495939.0
4800,20,63,82197935.0
4800,20,67,75159922.0
4800,20,71,75953896.0
4800,20,75,76522276.0
4800,20,79,75355489.0
4800,20,83,75548968.0
4800,20,87,75241120.0
4800,20,91,78211963.0
4800,20,95,76735967.0
4800,20,99,78644267.0
4800,20,103,75524976.0
4800,20,107,78229306.0
4800,20,111,73240459.0
4800,20,115,75269582.0
4800,20,119,79834110.0
1600,16,3,607387.0
1600,16,7,629299.0
1600,16,11,693827.0
1600,16,15,688014.0
1600,16,19,600865.0
1600,16,23,749419.0
1600,16,27,658425.0
1600,16,31,675783.0
1600,16,35,622264.0
1600,16,39,665380.0
1600,16,43,713785.0
1600,16,47,707185.0
1600,16,51,670145.0
1600,16,55,829253.0
1600,16,59,716110.0
1600,16,63,712196.0
1600,16,67,660884.0
1600,16,71,661668.0
1600,16,75,669875.0
1600,16,79,699638.0
1600,16,83,776928.0
1600,16,87,655287.0
1600,16,91,697466.0
1600,16,95,666534.0
